"minä syön leipää"			"I eat bread"					"PhrUtt NoPConj (UttS (UseCl (TTAnt TPres ASimul) PPos (PredVP (UsePron i_Pron) (ComplV2 eat_V2 (MassNP (UseN bread_N)))))) NoVoc"
"minä en syö leipää"	       		"I don't eat bread"				"PhrUtt NoPConj (UttS (UseCl (TTAnt TPres ASimul) PNeg (PredVP (UsePron i_Pron) (ComplV2 eat_V2 (MassNP (UseN bread_N)))))) NoVoc"
"syö leipää"		   	     	"eat bread"					"PhrUtt NoPConj (UttImpSg PPos (ImpVP (ComplSlash (SlashV2a eat_V2) (MassNP (UseN bread_N))))) NoVoc"
"syökää leipää"	     			"eat bread"					"PhrUtt NoPConj (UttImpPl PPos (ImpVP (ComplSlash (SlashV2a eat_V2) (MassNP (UseN bread_N))))) NoVoc"
"älä syö leipää"			"don't eat bread"				"PhrUtt NoPConj (UttImpSg PNeg (ImpVP (AdvVP (PassV2 eat_V2) (PrepNP part_Prep (MassNP (UseN bread_N)))))) NoVoc"
"älkää syökö leipää"	       	   	"don't eat bread"				"PhrUtt NoPConj (UttImpPl PNeg (ImpVP (ComplSlash (SlashV2a eat_V2) (MassNP (UseN bread_N))))) NoVoc"
"minä laulan laulun"	       	   	"I sing a song"					"PhrUtt NoPConj (UttS (UseCl (TTAnt TPres ASimul) PPos (PredVP (UsePron i_Pron) (ComplSlash (SlashV2a sing_V2) (DetCN (DetQuant IndefArt NumSg) (UseN song_N)))))) NoVoc"
"minä en laula laulua"	   	  	"I don't sing a song"				"PhrUtt NoPConj (UttS (UseCl (TTAnt TPres ASimul) PNeg (PredVP (UsePron i_Pron) (ComplSlash (SlashV2a sing_V2) (DetCN (DetQuant IndefArt NumSg) (UseN song_N)))))) NoVoc"
"laula laulu"		   	      	"sing a song"					"PhrUtt NoPConj (UttImpSg PPos (ImpVP (ComplSlash (SlashV2a sing_V2) (DetCN (DetQuant IndefArt NumSg) (UseN song_N))))) NoVoc"
"laulakaa laulu"			"sing a song"					"PhrUtt NoPConj (UttImpPl PPos (ImpVP (ComplSlash (SlashV2a sing_V2) (DetCN (DetQuant IndefArt NumSg) (UseN song_N))))) NoVoc"
"älä laula laulua"	      		"don't sing a song"				"PhrUtt NoPConj (UttImpSg PNeg (ImpVP (ComplSlash (SlashV2a sing_V2) (DetCN (DetQuant IndefArt NumSg) (UseN song_N))))) NoVoc"
"älkää laulako laulua"	       	      	"don't sing a song"				"PhrUtt NoPConj (UttImpPl PNeg (ImpVP (ComplSlash (SlashV2a sing_V2) (DetCN (DetQuant IndefArt NumSg) (UseN song_N))))) NoVoc"
"minä haluan syödä leipää"	      	"I want to eat bread"				"PhrUtt NoPConj (UttS (UseCl (TTAnt TPres ASimul) PPos (PredVP (UsePron i_Pron) (ComplVV want_2_VV (ComplSlash (SlashV2a eat_V2) (MassNP (UseN bread_N))))))) NoVoc"
"minä en halua syödä leipää"	   	"I don't want to eat bread"		      	"PhrUtt NoPConj (UttS (UseCl (TTAnt TPres ASimul) PNeg (PredVP (UsePron i_Pron) (ComplVV want_2_VV (ComplSlash (SlashV2a eat_V2) (MassNP (UseN bread_N))))))) NoVoc"
"minä haluan laulaa laulun suihkussa"	"I want to sing a song in the shower"		"PhrUtt NoPConj (UttS (UseCl (TTAnt TPres ASimul) PPos (PredVP (UsePron i_Pron) (ComplVV want_2_VV (AdvVP (ComplSlash (SlashV2a sing_V2) (DetCN (DetQuant IndefArt NumSg) (UseN song_N))) (PrepNP in_Prep (DetCN (DetQuant DefArt NumSg) (UseN shower_N)))))))) NoVoc"
"minä en halua laulaa laulua suihkussa"	"I don't want to sing a song in the shower"	"PhrUtt NoPConj (UttS (UseCl (TTAnt TPres ASimul) PNeg (PredVP (UsePron i_Pron) (ComplVV want_2_VV (AdvVP (ComplSlash (SlashV2a sing_V2) (DetCN (DetQuant IndefArt NumSg) (UseN song_N))) (PrepNP in_Prep (DetCN (DetQuant DefArt NumSg) (UseN shower_N)))))))) NoVoc"
"minun täytyy syödä leipää"		"I have to eat bread"	     	    		"PhrUtt NoPConj (UttS (UseCl (TTAnt TPres ASimul) PPos (PredVP (UsePron i_Pron) (ComplVV must_VV (ComplSlash (SlashV2a eat_V2) (MassNP (UseN bread_N))))))) NoVoc"
"minun ei täydy syödä leipää"		"I don't have to eat bread"			"PhrUtt NoPConj (UttS (UseCl (TTAnt TPres ASimul) PNeg (PredVP (UsePron i_Pron) (ComplVV must_VV (ComplSlash (SlashV2a eat_V2) (MassNP (UseN bread_N))))))) NoVoc"
"minun täytyy laulaa laulu"		"I have to sing a song"				"PhrUtt NoPConj (UttS (UseCl (TTAnt TPres ASimul) PPos (PredVP (UsePron i_Pron) (ComplVV must_VV (ComplSlash (SlashV2a sing_V2) (DetCN (DetQuant IndefArt NumSg) (UseN song_N))))))) NoVoc"
"minun ei täydy laulaa laulua "		"I don't have to sing a song"			"PhrUtt NoPConj (UttS (UseCl (TTAnt TPres ASimul) PNeg (PredVP (UsePron i_Pron) (ComplVV must_VV (ComplSlash (SlashV2a sing_V2) (DetCN (DetQuant IndefArt NumSg) (UseN song_N))))))) NoVoc"
"minä syön leipää keittiössä"		"I eat bread in the kitchen"			"PhrUtt NoPConj (UttS (UseCl (TTAnt TPres ASimul) PPos (PredVP (UsePron i_Pron) (AdvVP (ComplSlash (SlashV2a eat_V2) (MassNP (UseN bread_N))) (PrepNP in_Prep (DetCN (DetQuant DefArt NumSg) (UseN kitchen_N))))))) NoVoc"
"minä en syö leipää keittiössä"		"I don't eat bread in the kitchen"		"PhrUtt NoPConj (UttS (UseCl (TTAnt TPres ASimul) PNeg (PredVP (UsePron i_Pron) (AdvVP (ComplSlash (SlashV2a eat_V2) (MassNP (UseN bread_N))) (PrepNP in_Prep (DetCN (DetQuant DefArt NumSg) (UseN kitchen_N))))))) NoVoc"
