"bilarna är röda"			"the cars are red"			"PhrUtt NoPConj (UttS (UseCl (TTAnt TPres ASimul) PPos (PredVP (DetCN (DetQuant DefArt NumPl) (UseN car_N)) (UseComp (CompAP (PositA red_A)))))) NoVoc"
"bilar är snabba"			"cars are fast"				"PhrUtt NoPConj (UttS (UseCl (TTAnt TPres ASimul) PPos (PredVP (DetCN (DetQuant IndefArt NumPl) (UseN car_N)) (UseComp (CompAP (PositA fast_A)))))) NoVoc"
"de bilarna är röda"			"the cars are red"			"PhrUtt NoPConj (UttS (UseCl (TTAnt TPres ASimul) PPos (PredVP (DetCN theExplDefPl_Det (UseN car_N)) (UseComp (CompAP (PositA red_A)))))) NoVoc"
"dessa bilarna är röda"			"these cars are red"			"PhrUtt NoPConj (UttS (UseCl (TTAnt TPres ASimul) PPos (PredVP (DetCN (DetQuant thisInf_Quant NumPl) (UseN car_N)) (UseComp (CompAP (PositA red_A)))))) NoVoc"
"de bilar som är röda är snabba"	"the cars that are red are fast"	"PhrUtt NoPConj (UttS (UseCl (TTAnt TPres ASimul) PPos (PredVP (DetCN theExplIndefPl_Det (RelCN (UseN car_N) (UseRCl (TTAnt TPres ASimul) PPos (RelVP IdRP (UseComp (CompAP (PositA red_A))))))) (UseComp (CompAP (PositA fast_A)))))) NoVoc"
"de är snabba"	      	 		"they are fast"	       	   		"PhrUtt NoPConj (UttS (UseCl (TTAnt TPres ASimul) PPos (PredVP (UsePron they_Pron) (UseComp (CompAP (PositA fast_A)))))) NoVoc"
"jag ser bilarna"			"I see the cars"			"PhrUtt NoPConj (UttS (UseCl (TTAnt TPres ASimul) PPos (PredVP (UsePron i_Pron) (ComplSlash (SlashV2a see_V2) (DetCN (DetQuant DefArt NumPl) (UseN car_N)))))) NoVoc"
"jag ser dem"				"I see them"				"PhrUtt NoPConj (UttS (UseCl (TTAnt TPres ASimul) PPos (PredVP (UsePron i_Pron) (ComplSlash (SlashV2a see_V2) (UsePron they_Pron))))) NoVoc"
"jag ser de bilar som är snabba"	"I see the cars that are fast"		"PhrUtt NoPConj (UttS (UseCl (TTAnt TPres ASimul) PPos (PredVP (UsePron i_Pron) (ComplSlash (SlashV2a see_V2) (DetCN theExplIndefPl_Det (RelCN (UseN car_N) (UseRCl (TTAnt TPres ASimul) PPos (RelVP IdRP (UseComp (CompAP (PositA fast_A))))))))))) NoVoc"
"jag ser de röda bilar som är snabba"	"I see the red cars that are fast"	"PhrUtt NoPConj (UttS (UseCl (TTAnt TPres ASimul) PPos (PredVP (UsePron i_Pron) (ComplSlash (SlashV2a see_V2) (DetCN theExplIndefPl_Det (RelCN (AdjCN (PositA red_A) (UseN car_N)) (UseRCl (TTAnt TPres ASimul) PPos (RelVP IdRP (UseComp (CompAP (PositA fast_A))))))))))) NoVoc"
